0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:29:47 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 7151
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:32:15 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4663
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:32:20 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:32:20 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 7548
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:32:23 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 7548
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:32:24 +0530] "GET /ResumeClassification/pages/uploadResume.jsp HTTP/1.1" 200 13900
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:32:26 +0530] "GET /ResumeClassification/pages/jobs.jsp HTTP/1.1" 200 13469
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:32:41 +0530] "GET /ResumeClassification/pages/viewResume.jsp HTTP/1.1" 200 9151
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:32:44 +0530] "GET /ResumeClassification/pages/viewResume.jsp HTTP/1.1" 200 9151
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:32:46 +0530] "GET /ResumeClassification/pages/candidateApliedJob.jsp HTTP/1.1" 200 8143
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:32:47 +0530] "GET /ResumeClassification/pages/jobRecommendation.jsp HTTP/1.1" 200 7996
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:53:49 +0530] "GET /ResumeClassification/pages/uploadResume.jsp HTTP/1.1" 200 13900
0:0:0:0:0:0:0:1 - - [20/Jan/2020:12:01:46 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 7548
0:0:0:0:0:0:0:1 - - [20/Jan/2020:12:01:47 +0530] "GET /ResumeClassification/pages/uploadResume.jsp HTTP/1.1" 200 13900
0:0:0:0:0:0:0:1 - - [20/Jan/2020:12:01:48 +0530] "GET /ResumeClassification/pages/jobs.jsp HTTP/1.1" 200 13469
